name;short_name;county_id
"COLEGIUL NAȚIONAL ""ION MINULESCU"" SLATINA";"COLEGIU NAT""I.MINULESCU"" SLATINA";OLT
"Colegiul Naţional ""Ion Neculce""";"Colegiul Naţional ""Ion Neculce""";MUNICIPIUL BUCUREŞTI
"COLEGIUL NAȚIONAL ""IOSIF VULCAN"" ORADEA";"COLEGIUL NAȚIONAL ""IOSIF VULCAN"" ORADEA";BIHOR
Colegiul Național ”Iulia Hașdeu”;Col.Naț. ”Iulia Hașdeu”;MUNICIPIUL BUCUREŞTI
Colegiul Național 'Johannes Honterus' Brașov;Colegiul Național 'Johannes Honterus' Brașov;BRAŞOV
COLEGIUL NAŢIONAL ’KEMAL ATATURK’ MEDGIDIA;COL NAŢIONAL ’KEMAL ATATURK’ MEDGIDIA;CONSTANŢA
"COLEGIUL NAȚIONAL ""LIVIU REBREANU"" BISTRIȚA";"COL NAȚ ""L.REBREANU"" BISTRIȚA";BISTRIŢA-NĂSĂUD
"COLEGIUL NAȚIONAL ""MÁRTON ÁRON"" MIERCUREA CIUC";"CN ""MARTON ARON"" MIERCUREA CIUC";HARGHITA
"Colegiul Național ""Matei Basarab""";"Col.Naț. ""Matei Basarab""";MUNICIPIUL BUCUREŞTI
"Colegiul Naţional ""Mihai Eminescu""";"Col. Naţ. ""Mihai Eminescu""";MUNICIPIUL BUCUREŞTI
COLEGIUL NAŢIONAL ’MIHAI EMINESCU’ CONSTANŢA;COL NAȚIONAL ’MIHAI EMINESCU’ CȚA;CONSTANŢA
"COLEGIUL NAȚIONAL ""MIHAI EMINESCU"", IAŞI";"COL NAT ""M.EMINESCU"" IASI";IAŞI
"COLEGIUL NAŢIONAL ""MIHAI EMINESCU"" MUNICIPIUL BUZĂU";"COLEGIUL ""M.EMINESCU""";BUZĂU
"COLEGIUL NAȚIONAL ""MIHAI EMINESCU"" ORADEA";"COLEGIUL NAȚIONAL ""MIHAI EMINESCU"" ORADEA";BIHOR
"COLEGIUL NAȚIONAL ""MIHAI EMINESCU"" PETROȘANI";"COLEGIUL NAȚIONAL ""MIHAI EMINESCU"" PETROȘANI";HUNEDOARA
COLEGIUL NAȚIONAL „MIHAI EMINESCU” SATU MARE;CN MIHAI EMINESCU SM;SATU MARE
"COLEGIUL NAȚIONAL ""MIHAI EMINESCU"" SUCEAVA";"CN ""MIHAI EMINESCU"" SUCEAVA";SUCEAVA
"COLEGIUL NAȚIONAL ""MIHAI EMINESCU"" TOPLIŢA";"CN ""MIHAI EMINESCU"" TOPLITA";HARGHITA
Colegiul Național ”Mihai Viteazul”;Col.Naț. ”Mihai Viteazul”;MUNICIPIUL BUCUREŞTI
"COLEGIUL NAȚIONAL ""MIHAI VITEAZUL"", MUNICIPIUL PLOIEȘTI";"COLEGIUL ""M. VITEAZUL"" PLOIESTI";PRAHOVA
"Colegiul Național ""Mihai Viteazul"" Sfântu Gheorghe";"COL. NAȚ. ""MIHAI VITEAZUL"" SFÂNTU GHEORGHE";COVASNA
"COLEGIUL NAŢIONAL ""MIHAI VITEAZUL"" SLOBOZIA";"COLEGIUL NAŢ.""MIHAI VITEAZUL"" SLOBOZIA";IALOMIŢA
"COLEGIUL NAȚIONAL ""MIHAI VITEAZUL"" TURDA";"COLEGIUL NAȚIONAL ""MIHAI VITEAZUL"" TURDA";CLUJ
"COLEGIUL NAȚIONAL ""MIHAIL SADOVEANU"", PAŞCANI";"COL NAT ""M. SADOVEANU"" PASCANI";IAŞI
COLEGIUL NAȚIONAL MILITAR ”ALEXANDRU IOAN CUZA” CONSTANȚA;CNMIL A I CUZA;CONSTANŢA
"COLEGIUL NAŢIONAL MILITAR ""DIMITRIE CANTEMIR"" BREAZA";"COLEGIUL MIL.""D.CANTEMIR"" BREAZA";PRAHOVA
"COLEGIUL NAȚIONAL MILITAR ""ȘTEFAN CEL MARE"" CÂMPULUNG MOLDOVENESC";CN MILITAR ”ȘT. CEL MARE” CÂMPULUNG MOLDOVENESC;SUCEAVA
COLEGIUL NAŢIONAL ’MIRCEA CEL BĂTRÂN’ CONSTANŢA;COL NAȚIONAL ’MIRCEA CEL BATRAN’ CȚA;CONSTANŢA
COLEGIUL NAŢIONAL „MIRCEA ELIADE“ REŞIŢA;COLEGIUL MIRCEA ELIADE RESITA;CARAŞ-SEVERIN
"COLEGIUL NAȚIONAL ""MIRCEA ELIADE"" SIGHIȘOARA";"COL. NAȚ. ""M.ELIADE"" SIGHISOARA";MUREŞ
"COLEGIUL NAŢIONAL ""MOISE NICOARĂ"" ARAD";"COLEGIUL NAŢIONAL ""MOISE NICOARĂ"" ARAD";ARAD
"COLEGIUL NAȚIONAL ""NICHITA STĂNESCU"", MUNICIPIUL PLOIEȘTI";"COLEGIUL ""NICHITA STANESCU""PLOIESTI";PRAHOVA
"COLEGIUL NAŢIONAL ""NICOLAE BĂLCESCU""";"COLEGIUL NAŢIONAL ""NICOLAE BĂLCESCU""";BRĂILA
"COLEGIUL NAȚIONAL ""NICOLAE GRIGORESCU"", MUNICIPIUL CÂMPINA";"COLEGIUL ""N.GRIGORESCU"" CIMPINA";PRAHOVA
"COLEGIUL NAȚIONAL ""NICOLAE IORGA"", ORAȘUL VĂLENII DE MUNTE";"COLEGIUL ""N.IORGA"" VALENII DE M.";PRAHOVA
COLEGIUL NAȚIONAL ”NICOLAE TITULESCU” PUCIOASA;COLEGIUL NAȚIONAL ”NICOLAE TITULESCU” PUCIOASA;DÂMBOVIŢA
"COLEGIUL NAȚIONAL ""NICU GANE"" FĂLTICENI";"CN ""NICU GANE"" FĂLTICENI";SUCEAVA
"Colegiul Naţional ""Octav Onicescu""";"Col. Naţ. ""Octav Onicescu""";MUNICIPIUL BUCUREŞTI
"COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" MARGHITA";"COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" MARGHITA";BIHOR
"COLEGIUL NAŢIONAL ""OCTAVIAN GOGA"" MIERCUREA CIUC";"CN ""OCTAVIAN GOGA"" MIERCUREA CIUC";HARGHITA
"COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" SIBIU";"COL NAȚ ""O.GOGA"" SIBIU";SIBIU
"COLEGIUL NAȚIONAL ""ONISIFOR GHIBU"" ORADEA";"COLEGIUL NAȚIONAL ""ONISIFOR GHIBU"" ORADEA";BIHOR
"COLEGIUL NAȚIONAL PEDAGOGIC ""ANDREI ŞAGUNA"" SIBIU";"COL NAȚ PEDAGOGIC ""A.ȘAGUNA"" SIBIU";SIBIU
"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA";"COL. PED""CARMEN SYLVA"" TIMISOARA";TIMIŞ
"COLEGIUL NAȚIONAL PEDAGOGIC ""CAROL I"" CÂMPULUNG";CN PED. CAROL I CÂMPULUNG;ARGEŞ
COLEGIUL NAŢIONAL PEDAGOGIC ’CONSTANTIN BRĂTESCU’ CONSTANŢA;COL NAŢIONAL PEDAGOGIC ’CONSTANTIN BRĂTESCU’ CȚA;CONSTANŢA
"COLEGIUL NAȚIONAL PEDAGOGIC ""DUMITRU PANAITESCU PERPESSICIUS""";"COLEGIUL NAȚIONAL PEDAGOGIC ""D. P. PERPESSICIUS""";BRĂILA
"COLEGIUL NAȚIONAL PEDAGOGIC ""GHEORGHE LAZĂR"" CLUJ-NAPOCA";"COLEGIUL NAȚIONAL PEDAGOGIC ""GHEORGHE LAZĂR"" CLUJ";CLUJ
"COLEGIUL NAȚIONAL PEDAGOGIC ""MIHAI EMINESCU"" TÎRGU MUREȘ";"COL. NAȚ. PED. ""M. EMINESCU"" TG. MUREŞ";MUREŞ
"COLEGIUL NAȚIONAL PEDAGOGIC ""MIRCEA SCARLAT"" ALEXANDRIA";"CNP ""MIRCEA SCARLAT"" ALEXANDRIA";TELEORMAN
"COLEGIUL NAȚIONAL PEDAGOGIC ""REGINA MARIA"" DEVA";"COLEGIUL NAȚIONAL PEDAGOGIC ""REGINA MARIA"" DEVA";HUNEDOARA
"COLEGIUL NAȚIONAL PEDAGOGIC ""SPIRU HARET"" MUNICIPIUL BUZĂU";"COL. PEDAGOGIC ""S.HARET""";BUZĂU
"COLEGIUL NAŢIONAL PEDAGOGIC ""ŞTEFAN CEL MARE"" BACĂU";COL.PEDAG.ŞTEFAN CEL MARE BACĂU;BACĂU
"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN ODOBLEJA""";"COL.NAT.PEDA. ""ST.ODOBLEJA""";MEHEDINŢI
"COLEGIUL NAȚIONAL ""PETRU RAREȘ"" BECLEAN";"COL NAȚ ""P.RAREȘ"" BECLEAN";BISTRIŢA-NĂSĂUD
"COLEGIUL NAȚIONAL ""PETRU RAREȘ"", MUNICIPIUL PIATRA-NEAMȚ";CNPR, PIATRA NEAMȚ;NEAMŢ
"COLEGIUL NAȚIONAL ""PETRU RAREȘ"" SUCEAVA";"CN ""PETRU RAREȘ"" SUCEAVA";SUCEAVA
"COLEGIUL NAŢIONAL ""PREPARANDIA-DIMITRIE ŢICHINDEAL"" ARAD";"COLEGIUL NAŢIONAL ""PREPARANDIA-D. ŢICHINDEAL"" ARAD";ARAD
"COLEGIUL NAȚIONAL ""RADU GRECEANU"" SLATINA";"COLEGIUL NAT.""R.GRECEANU"" SLATINA";OLT
Colegiul Național 'Radu Negru' Făgăraș;Colegiul Național 'Radu Negru' Făgăraș;BRAŞOV
"COLEGIUL NAȚIONAL ""ROMAN VODĂ"", MUNICIPIUL ROMAN";CNRV, ROMAN;NEAMŢ
"COLEGIUL NAȚIONAL ""SAMUEL VON BRUKENTHAL"" SIBIU";"COL NAȚ ""SAMUEL VON BRUKENTHAL"" SIBIU";SIBIU
"COLEGIUL NAȚIONAL ""SAMUIL VULCAN"" BEIUȘ";"COLEGIUL NAȚIONAL ""SAMUIL VULCAN"" BEIUȘ";BIHOR
"Colegiul Naţional ""Sfântul Sava""";"Colegiul Naţional ""Sfântul Sava""";MUNICIPIUL BUCUREŞTI
"COLEGIUL NAȚIONAL ""SILVANIA"" ZALĂU";"COLEGIUL NAȚIONAL ""SILVANIA"" ZALĂU";SĂLAJ
"COLEGIUL NAȚIONAL ""SIMION BĂRNUȚIU"" ȘIMLEU SILVANIEI";"COLEGIUL NAȚIONAL ""S.BĂRNUȚIU"" ȘIMLEU SILVANIEI";SĂLAJ
Colegiul Național ”Spiru Haret”;Col.Naț. ”Spiru Haret”;MUNICIPIUL BUCUREŞTI
"Colegiul Național ""Székely Mikó"" Sfântu Gheorghe";"COL. NAȚ. ""SZÉKELY MIKÓ"" SFÂNTU GHEORGHE";COVASNA
"Colegiul Național ""Școala Centrală”";Școala Centrală;MUNICIPIUL BUCUREŞTI
"COLEGIUL NAȚIONAL ""ȘTEFAN CEL MARE"", HÂRLĂU";"COL NAT ""STEFAN CEL MARE"" HARLAU";IAŞI
"COLEGIUL NAȚIONAL ""ȘTEFAN CEL MARE"", ORAȘ TÂRGU NEAMȚ";"CN ""ȘTEFAN CEL MARE"", TÂRGU NEAMȚ";NEAMŢ
"COLEGIUL NAȚIONAL ""ȘTEFAN CEL MARE"" SUCEAVA";"CN ""STEFAN CEL MARE"" SUCEAVA";SUCEAVA
"COLEGIUL NAȚIONAL ""TEODOR NEȘ"" SALONTA";"COLEGIUL NAȚIONAL ""TEODOR NEȘ"" SALONTA";BIHOR
"COLEGIUL NAȚIONAL ""TRAIAN""";"COL.""TRAIAN""";MEHEDINŢI
"COLEGIUL NAŢIONAL ""TRAIAN DODA"" CARANSEBEŞ";"COLEGIUL NAŢIONAL ""TRAIAN DODA"" CARANSEBEŞ";CARAŞ-SEVERIN
COLEGIUL NAŢIONAL „TRAIAN LALESCU“ REŞIŢA;COLEGIUL NAŢIONAL „TRAIAN LALESCU“ REŞIŢA;CARAŞ-SEVERIN
Colegiul Național 'Unirea' Brașov;Colegiul Național 'Unirea' Brașov;BRAŞOV
"COLEGIUL NAȚIONAL ""UNIREA"" TÎRGU MUREȘ";"COL. NAȚ. ""UNIREA"" TG. MUREȘ";MUREŞ
"COLEGIUL NAŢIONAL ""UNIREA"" TURNU MĂGURELE";"CN ""UNIREA"" TURNU MĂGURELE";TELEORMAN
"COLEGIUL NAŢIONAL ""VASILE ALECSANDRI"" BACĂU";"COLEGIUL NAŢIONAL""V. ALECSANDRI""BACAU";BACĂU
"COLEGIUL NAŢIONAL ""VASILE GOLDIŞ"" ARAD";"COLEGIUL NAŢIONAL ""VASILE GOLDIŞ"" ARAD";ARAD
Colegiul Național ”Victor Babeș”;Col.Naț. ”Victor Babeș”;MUNICIPIUL BUCUREŞTI
COLEGIUL NAȚIONAL ”VLADIMIR STREINU” GĂEȘTI;COLEGIUL NAȚIONAL ”VLADIMIR STREINU” GĂEȘTI;DÂMBOVIŢA
"COLEGIUL NAȚIONAL ""VLAICU VODĂ"" CURTEA DE ARGEȘ";CN VLAICU VODĂ CURTEA DE ARGEŞ;ARGEŞ
"COLEGIUL NAȚIONAL ""ZINCA GOLESCU"" PITEȘTI";CN ZINCA GOLESCU PITEȘTI;ARGEŞ
"COLEGIUL NAŢIONAL""GRIGORE MOISIL"" URZICENI";"COLEGIUL NAŢ.""GRIGORE MOISIL"" URZICENI";IALOMIŢA
"COLEGIUL ""NICOLAE PAULESCU"" MUNICIPIUL RM.SĂRAT";COL N PAULESCU RMS;BUZĂU
Colegiul 'Nicolae Titulescu' Brașov;Colegiul 'Nicolae Titulescu' Brașov;BRAŞOV
"COLEGIUL N.V. KARPEN"" BACĂU";"COL. N.V.KARPEN"" BACĂU";BACĂU
"COLEGIUL PARTICULAR ""VASILE GOLDIŞ"" ARAD";"COLEGIUL PARTICULAR ""VASILE GOLDIŞ"" ARAD";ARAD
"COLEGIUL PEDAGOGIC ""VASILE LUPU"", IAȘI";COL PEDAGOGIC IASI;IAŞI
Colegiul pentru Agricultură și Industrie Alimentară 'Țara Bârsei' Prejmer;Colegiul Prejmer;BRAŞOV
"COLEGIUL REFORMAT ""BACZKAMADARASI KIS GERGELY"" ODORHEIU SECUIESC";STE REFORMAT ODORHEI;HARGHITA
"COLEGIUL ""RICHARD WURMBRAND"", IASI";CRW;IAŞI
"Colegiul Romano-Catolic ""Sfântul Iosif""";"Col. Rom.-Cat. ""Sf. Iosif""";MUNICIPIUL BUCUREŞTI
"COLEGIUL SILVIC ""BUCOVINA"" CÂMPULUNG MOLDOVENESC";"COLEGIUL SILVIC ""BUCOVINA"" CÂMPULUNG MOLDOVENESC";SUCEAVA
COLEGIUL SILVIC “THEODOR PIETRARU“ BRĂNEȘTI;COLEGIUL SILVIC“THEODOR PIETRARU“ BRANESTI;ILFOV
"COLEGIUL ""SPIRU HARET"", MUNICIPIUL PLOIEȘTI";"COLEGIUL ""SPIRU HARET"" PLOIESTI";PRAHOVA
"COLEGIUL ""ŞCOALA NAŢIONALĂ DE GAZ"" MEDIAŞ";COL SNG MEDIAŞ;SIBIU
"COLEGIUL TEHNIC ""ALESANDRU PAPIU ILARIAN"" ZALĂU";"COLEGIUL TEHNIC ""A.P.ILARIAN"" ZALĂU";SĂLAJ
"COLEGIUL TEHNIC ""ALEXANDRU IOAN CUZA"" SUCEAVA";"COLEGIUL TEHNIC ""ALEXANDRU IOAN CUZA"" SUCEAVA";SUCEAVA
"COLEGIUL TEHNIC ""ALEXANDRU ROMAN"" ALEȘD";"CT ""ALEXANDRU ROMAN"" ALEȘD";BIHOR
"COLEGIUL TEHNIC ""ANA ASLAN"" CLUJ-NAPOCA";COL. TEHN. ANA ASLAN (EX. TERAPIA);CLUJ
"Colegiul Tehnic ""Anghel Saligny""";"Col.Tehn. ""Anghel Saligny""";MUNICIPIUL BUCUREŞTI
"COLEGIUL TEHNIC ""ANGHEL SALIGNY"" BAIA MARE";CT A SALIGNY BM;MARAMUREŞ
"COLEGIUL TEHNIC ""ANGHEL SALIGNY"" CLUJ-NAPOCA";"COLEGIUL TEHNIC DE CONSTRUCTII ""ANGHEL SALIGNY""";CLUJ
"COLEGIUL TEHNIC ""APULUM"" ALBA IULIA";"CT ""APULUM"" ALBA IULIA";ALBA
"COLEGIUL TEHNIC ""ARMAND CĂLINESCU"" PITEȘTI";COL.TEH. ARMAND CĂLINESCU PITEȘTI;ARGEŞ
"COLEGIUL TEHNIC ""AUGUST TREBONIU LAURIAN"" AGNITA";"COL TEHN ""A.T.LAURIAN"" AGNITA";SIBIU
"COLEGIUL TEHNIC ""AUREL VLAICU"" BAIA MARE";CT A VLAICU BM;MARAMUREŞ
"COLEGIUL TEHNIC AUTO ""TRAIAN VUIA"" FOCSANI";"COL. TEHN. AUTO ""TRAIAN VUIA"" FOCSANI";VRANCEA
"COLEGIUL TEHNIC ""BATTHYÁNY IGNÁC"" GHEORGHENI";"COL ""BATTHYANY IGNAC"" GHEORGHENI";HARGHITA
"Colegiul Tehnic ""Carol I""";"Col. Teh. ""Carol I""";MUNICIPIUL BUCUREŞTI
COLEGIUL TEHNIC CÂMPULUNG;COL.TEH. CÂMPULUNG;ARGEŞ
"COLEGIUL TEHNIC ""CD NENITESCU"" BAIA MARE";CT CD NENITESCU BM;MARAMUREŞ
"COLEGIUL TEHNIC ""CIBINIUM"" SIBIU";"COL TEHN ""CIBINIUM"" SIBIU";SIBIU
"COLEGIUL TEHNIC ""CONSTANTIN BRÂNCUŞI"" PETRILA";"COLEGIUL TEHNIC ""CONSTANTIN BRÂNCUŞI"" PETRILA";HUNEDOARA
"Colegiul Tehnic ""Costin D. Nenițescu""";"Col.Tehn. ""C.D.Nenițescu""";MUNICIPIUL BUCUREŞTI
"COLEGIUL TEHNIC ""COSTIN D. NENIŢESCU""";"COLEGIUL TEHNIC ""COSTIN D. NENIŢESCU""";BRĂILA
"COLEGIUL TEHNIC ""COSTIN D. NENIȚESCU"" PITEȘTI";COL.TEH. C.D. NENIȚESCU PITEȘTI;ARGEŞ
"COLEGIUL TEHNIC ""DANUBIANA"", MUNICIPIUL ROMAN";CTD, ROMAN;NEAMŢ
"Colegiul Tehnic de Aeronautică ""Henri Coandă""";"Colegiul Tehnic de Aeronautică ""Henri Coandă""";MUNICIPIUL BUCUREŞTI
"Colegiul Tehnic de Arhitectură Şi Lucrări Publice ""Ioan N. Socolescu""";"Colegiul Tehnic ""Ioan N. Socolescu""";MUNICIPIUL BUCUREŞTI
"COLEGIUL TEHNIC DE CĂI FERATE ""UNIREA"", PAŞCANI";"COL TEH ""UNIREA"" PASCANI";IAŞI
"COLEGIUL TEHNIC DE COMUNICAȚII ""AUGUSTIN MAIOR"" CLUJ-NAPOCA";"COLEGIUL TEHNIC ""AUGUSTIN MAIOR"" CLUJ";CLUJ
"Colegiul Tehnic de Industrie Alimentară ""Dumitru Moţoc""";"Col. Teh. de Ind. Alim. ""Dumitru Moţoc""";MUNICIPIUL BUCUREŞTI
COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ SUCEAVA;COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ SUCEAVA;SUCEAVA
"Colegiul Tehnic de Poştă și Telecomunicaţii ""Gheorghe Airinei""";"Col. Teh. de Poştă și Tc. ""Gh. Airinei""";MUNICIPIUL BUCUREŞTI
Colegiul Tehnic de Transporturi Brașov;Colegiul Tehnic de Transporturi Brașov;BRAŞOV
COLEGIUL TEHNIC DE TRANSPORTURI, MUNICIPIUL PIATRA-NEAMȚ;CTT, PIATRA NEAMȚ;NEAMŢ
"COLEGIUL TEHNIC DE TRANSPORTURI ""TRANSILVANIA"" CLUJ-NAPOCA";"COLEGIUL TEHNIC DE TRANSPORTURI ""TRANSILVANIA""";CLUJ
"COLEGIUL TEHNIC ""DIMITRIE GHIKA"" COMĂNEŞTI";"COLEGIUL TEHNIC ""D.GHIKA"" COMĂNEŞTI";BACĂU
Colegiul Tehnic ”Dimitrie Leonida”;Col.Tehn. ”Dimitrie Leonida”;MUNICIPIUL BUCUREŞTI
"Colegiul Tehnic ""Dinicu Golescu""";"Col. Teh. ""Dinicu Golescu""";MUNICIPIUL BUCUREŞTI
Colegiul Tehnic 'Dr. Alexandru Bărbat' Victoria;Colegiul Tehnic Victoria;BRAŞOV
Colegiul Tehnic ”Edmond Nicolau”;Col.Tehn. ”Edmond Nicolau”;MUNICIPIUL BUCUREŞTI
"COLEGIUL TEHNIC ""EDMOND NICOLAU"" FOCSANI";"COL. TEHN. ""EDMOND NICOLAU"" FOCSANI";VRANCEA
"COLEGIUL TEHNIC ""EMANUIL UNGUREANU"" TIMIȘOARA";"COL. TEH. ""E. UNGUREANU"" TIMISOARA";TIMIŞ
Colegiul Tehnic Energetic;Col. Teh. Energetic;MUNICIPIUL BUCUREŞTI
COLEGIUL TEHNIC ENERGETIC CLUJ-NAPOCA;COLEGIUL TEHNIC ENERGETIC CLUJ-NAPOCA;CLUJ
Colegiul Tehnic Energetic 'Remus Răduleț' Brașov;Colegiul Tehnic 'Remus Răduleț' Brașov;BRAŞOV
COLEGIUL TEHNIC ENERGETIC SIBIU;COL TEH ENERGETIC SIBIU;SIBIU
"Colegiul Tehnic Feroviar ""Mihai I""";"Col. Tehn. Feroviar ""Mihai I""";MUNICIPIUL BUCUREŞTI
COLEGIUL TEHNIC FORESTIER, MUNICIPIUL CÂMPINA;COLEGIUL TEHNIC FORESTIER CAMPINA;PRAHOVA
COLEGIUL TEHNIC FORESTIER, MUNICIPIUL PIATRA-NEAMȚ;CTF, PIATRA NEAMȚ;NEAMŢ
"COLEGIUL TEHNIC ""GEORGE BARITIU"" BAIA MARE";CT G BARITIU BM;MARAMUREŞ
"Colegiul Tehnic ""Gheorghe Asachi""";"Col. Teh. ""Gh. Asachi""";MUNICIPIUL BUCUREŞTI
"COLEGIUL TEHNIC ""GHEORGHE ASACHI"" BOTOSANI";"COL.TEH.""GHEORGHE ASACHI""";BOTOŞANI
"COLEGIUL TEHNIC ""GHEORGHE ASACHI"" FOCSANI";"COL. TEHN. ""GH. ASACHI"" FOCSANI";VRANCEA
"COLEGIUL TEHNIC ""GHEORGHE ASACHI"", IAŞI";"COL TEH ""GH. ASACHI"" IASI";IAŞI
"COLEGIUL TEHNIC ""GHEORGHE ASACHI"" ONEŞTI";"COLEGIUL TEHNIC""GH.ASACHI"" ONEŞTI";BACĂU
"COLEGIUL TEHNIC ""GHEORGHE BALS"" ADJUD";"COL. TEHN. ""GHEORGHE BALS"" ADJUD";VRANCEA
"COLEGIUL TEHNIC ""GHEORGHE CARTIANU"", MUNICIPIUL PIATRA-NEAMȚ";CTGC, PIATRA NEAMȚ;NEAMŢ
"COLEGIUL TEHNIC ""G-RAL GHEORGHE MAGHERU"" TG-JIU";"COL TEHNIC ""G-RAL GH.MAGHERU"" TG-JIU";GORJ
"COLEGIUL TEHNIC ""GRIGORE COBĂLCESCU"" MOINEŞTI";"COL.TEH.GR.COBĂLCESCU"" MOINEŞTI";BACĂU
"COLEGIUL TEHNIC ""HENRI COANDA"" TG-JIU";"COL. TEHNIC ""H.COANDA"" TG-JIU";GORJ
"COLEGIUL TEHNIC ""HENRI COANDĂ"" TIMIȘOARA";"COL. TEH. ""H.COANDA"" TIMISOARA";TIMIŞ
"COLEGIUL TEHNIC ""INFOEL"" BISTRIȚA";"COL TEH ""INFOEL"" BISTRIȚA";BISTRIŢA-NĂSĂUD
"COLEGIUL TEHNIC ""IOAN C. ŞTEFĂNESCU"", IAŞI";"COL TEH ""I.C. STEFANESCU"" IASI";IAŞI
"COLEGIUL TEHNIC ""IOAN CIORDAȘ"" BEIUȘ";"COLEGIUL TEHNIC ""IOAN CIORDAȘ"" BEIUȘ";BIHOR
"COLEGIUL TEHNIC ""ION CREANGĂ"", ORAȘ TÂRGU NEAMȚ";CTIC, TÂRGU NEAMȚ;NEAMŢ
"COLEGIUL TEHNIC ""ION D. LAZARESCU"" CUGIR";"COLEGIUL ""I.D.L."" CUGIR";ALBA
"COLEGIUL TEHNIC ""ION HOLBAN"", IAȘI";"COL TEH ""ION HOLBAN"" IASI";IAŞI
"COLEGIUL TEHNIC ""ION MINCU"" FOCSANI";"COL. TEHN. ""ION MINCU"" FOCSANI";VRANCEA
"COLEGIUL TEHNIC ""ION MINCU"" TG-JIU";"COLEGIUL TEHNIC ""ION MINCU"" TG-JIU";GORJ
"Colegiul Tehnic ""Iuliu Maniu""";"Col. Teh. ""Iuliu Maniu""";MUNICIPIUL BUCUREŞTI
"COLEGIUL TEHNIC ""IULIU MANIU"" ȘIMLEU SILVANIEI";"COLEGIUL TEHNIC ""I.MANIU"" ȘIMLEU SILVANIEI";SĂLAJ
"COLEGIUL TEHNIC ""LAȚCU VODĂ"" SIRET";"COLEGIUL TEHNIC ""LAȚCU VODĂ"" SIRET";SUCEAVA
Colegiul Tehnic 'Maria Baiulescu' Brașov;Colegiul Tehnic 'Maria Baiulescu' Brașov;BRAŞOV
COLEGIUL TEHNIC MATASARI;COLEGIUL TEHNIC MATASARI;GORJ
"Colegiul Tehnic Mecanic ""Griviţa""";"Col. Tehn. Mec. ""Griviţa""";MUNICIPIUL BUCUREŞTI
"Colegiul Tehnic ""Media""";"Colegiul Tehnic ""Media""";MUNICIPIUL BUCUREŞTI
"COLEGIUL TEHNIC ""MEDIENSIS"" MEDIAŞ";"COL TEH ""MEDIENSIS"" MEDIAȘ";SIBIU
"COLEGIUL TEHNIC ""MIHAI BĂCESCU"" FĂLTICENI";"COLEGIUL TEHNIC ""MIHAI BĂCESCU"" FĂLTICENI";SUCEAVA
"Colegiul Tehnic ""Mihai Bravu""";"Col.Tehn. ""Mihai Bravu""";MUNICIPIUL BUCUREŞTI
"COLEGIUL TEHNIC ""MIHAI VITEAZUL"" ORADEA";"COLEGIUL TEHNIC ""MIHAI VITEAZUL"" ORADEA";BIHOR
"COLEGIUL TEHNIC ""MIHAIL STURDZA"", IAŞI";"COL TEH ""M. STURDZA"" IASI";IAŞI
"Colegiul Tehnic ""Mircea cel Bătrân""";"Colegiul Tehnic ""Mircea cel Bătrân""";MUNICIPIUL BUCUREŞTI
Colegiul Tehnic 'Mircea Cristea' Brașov;Colegiul Tehnic 'Mircea Cristea' Brașov;BRAŞOV
"COLEGIUL TEHNIC ""MIRON COSTIN"", MUNICIPIUL ROMAN";CTMC, ROMAN;NEAMŢ
COLEGIUL TEHNIC MOTRU;COLEGIUL TEHNIC MOTRU;GORJ
COLEGIUL TEHNIC NR 2 TG-JIU;COLEGIUL TEHNIC NR 2 TG-JIU;GORJ
COLEGIUL TEHNIC NR.1 VADU CRIŞULUI;CT NR.1 VADU CRIŞULUI;BIHOR
"Colegiul Tehnic ""Petru Maior""";"Col. Teh. ""Petru Maior""";MUNICIPIUL BUCUREŞTI
"COLEGIUL TEHNIC ""PETRU MUȘAT"" SUCEAVA";"COLEGIUL TEHNIC ""PETRU MUȘAT"" SUCEAVA";SUCEAVA
"COLEGIUL TEHNIC ""PETRU PONI"", MUNICIPIUL ROMAN";CTPP, ROMAN;NEAMŢ
"COLEGIUL TEHNIC ""RALUCA RIPAN"" CLUJ-NAPOCA";"COLEGIUL TEHNIC ""RALUCA RIPAN"" CLUJ";CLUJ
COLEGIUL TEHNIC RĂDĂUȚI;COLEGIUL TEHNIC RĂDĂUȚI;SUCEAVA
COLEGIUL TEHNIC REŞIŢA;COLEGIUL TEHNIC RESITA;CARAŞ-SEVERIN
"COLEGIUL TEHNIC ""SAMUIL ISOPESCU"" SUCEAVA";"COLEGIUL TEHNIC ""SAMUIL ISOPESCU"" SUCEAVA";SUCEAVA
Colegiul Tehnic 'Simion Mehedinți' Codlea;Colegiul Tehnic Codlea;BRAŞOV
"COLEGIUL TEHNIC ""TRAIAN VUIA"" ORADEA";"COLEGIUL TEHNIC ""TRAIAN VUIA"" ORADEA";BIHOR
